tdoy,Year_1,Year_2,Year_3,Year_4
55,55.65670259454345,-36.11111111111111,9.339453544353349,-79.1445881197205
56,62.77328832770381,-36.66666666666666,13.1536205284587,-82.70227602870935
57,72.57388713051955,-38.888888888888886,19.303273818048837,-87.26600359820995
58,82.9255800028584,-32.77777777777777,21.6425536968341,-87.16247517217913
59,90.77587512070365,-28.888888888888886,18.199839912961437,-84.23551951143597
60,89.70275293254537,-24.444444444444446,28.837825505127945,-81.50916584256298
61,94.7424274074368,-19.444444444444454,36.48074735712703,-83.59129489541488
62,102.03501032625061,-17.777777777777782,45.78625285874936,-83.45896662844241
63,100.76786249975878,-18.333333333333336,49.67388626831599,-86.05170797041275
64,105.5880813939722,-16.11111111111111,53.4630985789063,-85.91602419580587
65,94.84469084899982,-13.888888888888895,57.16100456875943,-79.14281445791099
66,87.62870063604151,-11.111111111111116,58.06422873294772,-77.36333235808989
67,77.28470944484265,-13.333333333333341,59.86041315036756,-77.70483380958424
68,59.23027635302884,-12.777777777777787,59.86041315036756,-75.32668274927322
69,45.1357303600574,-17.777777777777782,64.30098018232219,-72.08019363733548
70,32.656328251523114,-19.999999999999996,64.30098018232219,-69.84134124032937
71,29.64475047837116,-21.666666666666668,73.81314219287769,-69.32567505428318
72,27.05358291384674,-21.111111111111125,77.09263544179991,-71.47700581522761
73,18.84803901732748,-23.33333333333334,83.53236763968354,-70.28342821241867
74,26.234277586777832,-21.111111111111125,88.19844478306531,-71.49083288783889
75,46.141059784442426,-15.555555555555578,91.23390356988894,-71.80760141130736
76,80.71907839415424,-16.666666666666696,100.94500023554738,-72.39494304857179
77,79.03598439187343,-21.111111111111136,101.65757115836844,-72.93888505746693
78,91.91255580572056,-26.11111111111114,101.65757115836844,-71.01265986190467
79,112.23084128391099,-33.888888888888914,100.94750928809249,-66.08640850877438
80,117.82496943731844,-38.33333333333335,93.10913126621654,-65.26733384366142
81,119.7030134453191,-45.55555555555557,91.62367641032256,-57.51722686689067
82,123.50422431286515,-56.11111111111112,94.61779635423386,-49.6509198180112
83,118.55913668748062,-65.55555555555557,90.9318532414643,-43.941022798438645
84,122.4863162891618,-73.88888888888889,86.4216519837919,-40.62629445188758
85,147.57678529967615,-79.44444444444446,82.56996495933338,-39.312512923843165
86,160.90726199442682,-83.33333333333334,86.50466248000868,-35.134792208811625
87,170.3253252883676,-85.00000000000001,87.27534290347975,-35.241093762058405
88,173.9184996985756,-86.66666666666667,92.64799618349764,-34.01549132168744
89,184.18355413899005,-86.11111111111111,95.63478682200149,-33.75773933466279
90,173.29816069097612,-87.77777777777777,92.69291032843756,-35.52881069242927
91,158.5413276838163,-89.44444444444444,91.9460385829785,-34.041014016100725
