Date,LT_pct_above_SMA200,MT_pct_RSI_ge_50,ST_pct_RSI_ge_60,RegimeScore,RegimeScore_EMA10
2025-04-10,25.30612244897959,13.061224489795919,2.6530612244897958,17.10204081632653,24.89849602033076
2025-04-11,28.367346938775512,16.73469387755102,3.4693877551020407,19.897959183673468,23.98930750457489
2025-04-14,29.795918367346943,22.244897959183675,7.346938775510205,23.040816326530614,23.816854563112294
2025-04-15,29.38775510204082,18.571428571428573,3.4693877551020407,20.95918367346939,23.297278037722673
2025-04-16,28.163265306122447,13.673469387755102,2.0408163265306123,18.591836734693878,22.441743255353803
2025-04-17,30.0,20.0,3.6734693877551026,21.73469387755102,22.313188823026024
2025-04-21,24.897959183673468,9.795918367346939,0.8163265306122449,15.551020408163264,21.08370365668734
2025-04-22,29.795918367346943,16.73469387755102,1.8367346938775513,20.28571428571429,20.938614680146788
2025-04-23,30.20408163265306,16.3265306122449,1.6326530612244898,20.3265306122449,20.82732666780099
2025-04-24,33.265306122448976,52.85714285714286,11.428571428571429,34.775510204081634,23.363360038033832
2025-04-25,33.265306122448976,81.42857142857143,50.816326530612244,51.224489795918366,28.42901999401284
2025-04-28,33.87755102040816,90.20408163265307,64.89795918367346,56.97959183673469,33.62003305632591
2025-04-29,35.51020408163265,94.28571428571428,80.81632653061224,62.20408163265306,38.8171327974763
2025-04-30,36.3265306122449,70.81632653061224,38.36734693877551,47.08163265306123,40.31976913485538
2025-05-01,36.12244897959184,84.6938775510204,63.6734693877551,56.20408163265306,43.207825952636775
2025-05-02,41.42857142857143,85.3061224489796,61.224489795918366,58.55102040816327,45.99749767182341
2025-05-05,40.816326530612244,74.08163265306122,52.04081632653062,53.04081632653061,47.27810106358836
2025-05-06,37.55102040816327,75.51020408163265,49.183673469387756,51.26530612244898,48.003047437926654
2025-05-07,41.0204081632653,81.63265306122449,62.65306122448979,57.53061224489796,49.73533194828507
2025-05-08,42.6530612244898,77.9591836734694,58.57142857142858,56.42857142857143,50.95228458106441
2025-05-09,43.06122448979592,84.6938775510204,69.59183673469389,60.85714285714286,52.75316790398777
2025-05-12,51.22448979591837,79.59183673469387,67.9591836734694,63.08163265306123,54.631070585637495
2025-05-13,50.61224489795918,77.14285714285715,65.51020408163265,61.55102040816326,55.889243280642184
2025-05-14,49.183673469387756,70.81632653061224,54.69387755102041,56.77551020408163,56.05038272126754
2025-05-15,52.85714285714286,80.20408163265306,62.65306122448979,63.02040816326531,57.317660074358045
2025-05-16,55.51020408163265,83.87755102040816,66.3265306122449,66.18367346938776,58.929662509817994
2025-05-19,55.306122448979586,81.63265306122449,62.857142857142854,64.71428571428571,59.98141218335758
2025-05-20,54.08163265306123,81.22448979591836,61.0204081632653,63.61224489795919,60.64156358601241
2025-05-21,48.775510204081634,73.26530612244898,46.73469387755102,55.714285714285715,59.745694882062104
2025-05-22,47.55102040816326,59.183673469387756,36.3265306122449,48.795918367346935,57.754826424841156
2025-05-23,46.12244897959184,60.40816326530612,33.46938775510204,47.87755102040816,55.958958169489705
2025-05-27,50.816326530612244,77.14285714285715,49.59183673469388,58.46938775510205,56.41539991232831
2025-05-28,47.3469387755102,68.77551020408164,39.38775510204081,52.183673469387756,55.645995104520935
2025-05-29,48.775510204081634,67.14285714285714,34.285714285714285,51.38775510204081,54.871769649524545
2025-05-30,49.38775510204081,68.77551020408164,34.69387755102041,52.265306122448976,54.39786719005626
2025-06-02,48.36734693877551,46.12244897959184,25.30612244897959,43.08163265306123,52.3403700015117
2025-06-03,49.183673469387756,51.02040816326531,28.367346938775512,45.57142857142858,51.10965337786022
2025-06-04,48.97959183673469,55.714285714285715,28.57142857142857,46.91836734693877,50.34760137223814
2025-06-05,46.93877551020408,42.04081632653061,20.0,40.08163265306122,48.48106160511506
2025-06-06,49.59183673469388,38.9795918367347,19.183673469387756,40.3265306122449,46.99841960641139
2025-06-09,49.795918367346935,37.755102040816325,16.93877551020408,39.61224489795918,45.65547875032917
