Date,SPY,Composite,Threshold
2023-06-30,427.0552978515625,8.0,5
2023-07-03,427.5466613769531,8.0,5
2023-07-05,426.91082763671875,8.0,5
2023-07-06,423.56781005859375,8.0,5
2023-07-07,422.4984436035156,8.0,5
2023-07-10,423.56781005859375,9.0,5
2023-07-11,426.26531982421875,9.0,5
2023-07-12,429.6949768066406,9.0,5
2023-07-13,433.1054382324219,9.0,5
2023-07-14,432.8357849121094,9.0,5
2023-07-17,434.33856201171875,9.0,5
2023-07-18,437.56597900390625,8.0,5
2023-07-19,438.5390625,8.0,5
2023-07-20,435.62957763671875,9.0,5
2023-07-21,435.62957763671875,9.0,5
2023-07-24,437.5756530761719,9.0,5
2023-07-25,438.770263671875,9.0,5
2023-07-26,438.83770751953125,8.0,5
2023-07-27,435.9281921386719,9.0,5
2023-07-28,440.19610595703125,9.0,5
2023-07-31,441.0342712402344,9.0,5
2023-08-01,439.772216796875,9.0,5
2023-08-02,433.65460205078125,8.0,5
2023-08-03,432.41180419921875,8.0,5
2023-08-04,430.4560852050781,8.0,5
2023-08-07,434.21337890625,8.0,5
2023-08-08,432.3251037597656,8.0,5
2023-08-09,429.4349060058594,7.0,5
2023-08-10,429.58905029296875,7.0,5
2023-08-11,429.3385925292969,6.0,5
2023-08-14,431.70855712890625,5.0,5
2023-08-15,426.6795959472656,4.0,5
2023-08-16,423.548583984375,4.0,5
2023-08-17,420.3211364746094,4.0,5
2023-08-18,420.52349853515625,4.0,5
2023-08-21,423.259521484375,4.0,5
2023-08-22,422.11309814453125,4.0,5
2023-08-23,426.814453125,4.0,5
2023-08-24,420.89923095703125,4.0,5
2023-08-25,423.8664855957031,4.0,5
2023-08-28,426.5543518066406,4.0,5
2023-08-29,432.7201232910156,5.0,5
2023-08-30,434.5024108886719,7.0,5
2023-08-31,433.8665466308594,7.0,5
2023-09-01,434.67578125,7.0,5
2023-09-05,432.7971496582031,7.0,5
2023-09-06,429.8877258300781,6.0,5
2023-09-07,428.5678405761719,5.0,5
2023-09-08,429.2133483886719,5.0,5
2023-09-11,432.03607177734375,7.0,5
2023-09-12,429.6661071777344,5.0,5
2023-09-13,430.1671142578125,6.0,5
2023-09-14,433.8761901855469,7.0,5
2023-09-15,428.648681640625,6.0,5
2023-09-18,428.9000244140625,5.0,5
2023-09-19,428.0106201171875,6.0,5
2023-09-20,424.07574462890625,4.0,5
2023-09-21,417.0664978027344,4.0,5
2023-09-22,416.12872314453125,4.0,5
2023-09-25,417.8786315917969,4.0,5
2023-09-26,411.7394714355469,4.0,5
2023-09-27,411.9037780761719,4.0,5
2023-09-28,414.2917785644531,4.0,5
2023-09-29,413.28631591796875,4.0,5
2023-10-02,413.1219177246094,4.0,5
2023-10-03,407.5919189453125,4.0,5
2023-10-04,410.5599365234375,4.0,5
2023-10-05,410.4052429199219,4.0,5
2023-10-06,415.27789306640625,4.0,5
2023-10-09,417.9366455078125,4.0,5
2023-10-10,420.1119079589844,4.0,5
2023-10-11,421.8327941894531,4.0,5
2023-10-12,419.2611083984375,4.0,5
2023-10-13,417.1728210449219,3.0,5
2023-10-16,421.5621032714844,3.0,5
2023-10-17,421.542724609375,3.0,5
2023-10-18,415.9256591796875,3.0,5
2023-10-19,412.2712097167969,3.0,5
2023-10-20,407.20513916015625,3.0,5
2023-10-23,406.4994201660156,3.0,5
2023-10-24,409.56414794921875,3.0,5
2023-10-25,403.68603515625,2.0,5
2023-10-26,398.8520202636719,2.0,5
2023-10-27,397.0440979003906,1.0,5
2023-10-30,401.79107666015625,2.0,5
2023-10-31,404.314453125,2.0,5
2023-11-01,408.6263732910156,3.0,5
2023-11-02,416.4573974609375,5.0,5
2023-11-03,420.2569580078125,6.0,5
2023-11-06,421.22369384765625,6.0,5
2023-11-07,422.42254638671875,6.0,5
2023-11-08,422.7319030761719,6.0,5
2023-11-09,419.4351501464844,6.0,5
2023-11-10,425.9803466796875,6.0,5
2023-11-13,425.5743103027344,6.0,5
2023-11-14,433.83074951171875,6.0,5
2023-11-15,434.7492370605469,7.0,5
2023-11-16,435.2809143066406,6.0,5
2023-11-17,435.8223571777344,6.0,5
2023-11-20,439.17718505859375,6.0,5
2023-11-21,438.22003173828125,6.0,5
2023-11-22,439.911865234375,6.0,5
2023-11-24,440.1825866699219,6.0,5
2023-11-27,439.38983154296875,6.0,5
2023-11-28,439.8248596191406,6.0,5
2023-11-29,439.5154724121094,6.0,5
2023-11-30,441.24603271484375,6.0,5
2023-12-01,443.8564147949219,7.0,5
2023-12-04,441.52642822265625,7.0,5
2023-12-05,441.439453125,7.0,5
2023-12-06,439.6605224609375,7.0,5
2023-12-07,443.01531982421875,7.0,5
2023-12-08,444.9199523925781,7.0,5
2023-12-11,446.6505126953125,7.0,5
2023-12-12,448.69036865234375,7.0,5
2023-12-13,454.8779296875,7.0,5
2023-12-14,456.3377990722656,7.0,5
2023-12-15,455.58642578125,7.0,5
2023-12-18,458.1491394042969,7.0,5
2023-12-19,460.93505859375,7.0,5
2023-12-20,454.54779052734375,7.0,5
2023-12-21,458.8577575683594,7.0,5
2023-12-22,459.7799072265625,7.0,5
2023-12-26,461.7213134765625,7.0,5
2023-12-27,462.5561828613281,7.0,5
2023-12-28,462.7309265136719,7.0,5
2023-12-29,461.3913269042969,7.0,5
2024-01-02,458.8092346191406,7.0,5
2024-01-03,455.0622253417969,7.0,5
2024-01-04,453.596435546875,7.0,5
2024-01-05,454.21771240234375,7.0,5
2024-01-08,460.70208740234375,7.0,5
2024-01-09,460.003173828125,7.0,5
2024-01-10,462.60467529296875,7.0,5
2024-01-11,462.4008483886719,7.0,5
2024-01-12,462.72119140625,7.0,5
2024-01-16,461.0224609375,5.0,5
2024-01-17,458.45977783203125,6.0,5
2024-01-18,462.5367736816406,5.0,5
2024-01-19,468.3028259277344,6.0,5
2024-01-22,469.29296875,7.0,5
2024-01-23,470.6616516113281,7.0,5
2024-01-24,471.1761169433594,7.0,5
2024-01-25,473.7388610839844,7.0,5
2024-01-26,473.1369934082031,7.0,5
2024-01-29,476.88397216796875,6.0,5
2024-01-30,476.5151062011719,6.0,5
2024-01-31,468.73968505859375,5.0,5
2024-02-01,474.8746032714844,5.0,5
2024-02-02,479.8737487792969,5.0,5
2024-02-05,478.1264343261719,7.0,5
2024-02-06,479.51458740234375,7.0,5
2024-02-07,483.51397705078125,7.0,5
2024-02-08,483.7275390625,8.0,5
2024-02-09,486.523193359375,8.0,5
2024-02-12,486.3096618652344,7.0,5
2024-02-13,479.61163330078125,7.0,5
2024-02-14,483.9701843261719,7.0,5
2024-02-15,487.3094787597656,7.0,5
2024-02-16,484.8826599121094,7.0,5
2024-02-20,482.2131652832031,7.0,5
2024-02-21,482.6499938964844,6.0,5
2024-02-22,492.6387023925781,7.0,5
2024-02-23,492.97845458984375,5.0,5
2024-02-26,491.17291259765625,6.0,5
2024-02-27,492.08538818359375,8.0,5
2024-02-28,491.4349670410156,5.0,5
2024-02-29,493.20166015625,7.0,5
2024-03-01,497.83203125,7.0,5
2024-03-04,497.2981262207031,7.0,5
2024-03-05,492.3280944824219,6.0,5
2024-03-06,494.8227844238281,6.0,5
2024-03-07,499.7345886230469,6.0,5
2024-03-08,496.73516845703125,7.0,5
2024-03-11,496.3080139160156,6.0,5
2024-03-12,501.64697265625,6.0,5
2024-03-13,500.8606262207031,7.0,5
2024-03-14,499.8704833984375,6.0,5
2024-03-15,496.4381408691406,5.0,5
2024-03-18,499.3885498046875,5.0,5
2024-03-19,502.1636962890625,5.0,5
2024-03-20,506.808349609375,7.0,5
2024-03-21,508.4831848144531,7.0,5
2024-03-22,507.5191650390625,7.0,5
2024-03-25,506.1170654296875,7.0,5
2024-03-26,505.1822204589844,7.0,5
2024-03-27,509.4277038574219,8.0,5
2024-03-28,509.33038330078125,8.0,5
2024-04-01,508.4441833496094,8.0,5
2024-04-02,505.2115173339844,6.0,5
2024-04-03,505.7664489746094,6.0,5
2024-04-04,499.5929870605469,6.0,5
2024-04-05,504.8122253417969,6.0,5
2024-04-08,505.0946044921875,6.0,5
2024-04-09,505.6788330078125,6.0,5
2024-04-10,500.6154479980469,5.0,5
2024-04-11,504.3935241699219,6.0,5
2024-04-12,497.43133544921875,5.0,5
2024-04-15,491.1994934082031,3.0,5
2024-04-16,490.3036193847656,3.0,5
2024-04-17,487.40185546875,3.0,5
2024-04-18,486.39892578125,3.0,5
2024-04-19,482.15350341796875,3.0,5
2024-04-22,486.5937194824219,3.0,5
2024-04-23,492.3679504394531,3.0,5
2024-04-24,492.1342468261719,3.0,5
2024-04-25,490.2646484375,3.0,5
2024-04-26,494.909423828125,3.0,5
2024-04-29,496.6620788574219,4.0,5
2024-04-30,488.7943420410156,3.0,5
2024-05-01,487.2071838378906,3.0,5
2024-05-02,491.76422119140625,5.0,5
