Date,MACD_Breadth
2007-09-20,71.007371007371
2007-09-21,73.95577395577395
2007-09-24,74.44717444717445
2007-09-25,73.46437346437347
2007-09-26,74.69287469287468
2007-09-27,77.14987714987716
2007-09-28,75.92137592137593
2007-10-01,80.34398034398035
2007-10-02,81.57248157248156
2007-10-03,82.06388206388206
2007-10-04,82.06388206388206
2007-10-05,83.04668304668304
2007-10-08,81.81818181818183
2007-10-09,82.80098280098281
2007-10-10,83.04668304668304
2007-10-11,83.29238329238329
2007-10-12,83.78378378378379
2007-10-15,84.02948402948402
2007-10-16,80.5896805896806
2007-10-17,80.0982800982801
2007-10-18,77.14987714987716
2007-10-19,70.76167076167076
2007-10-22,65.6019656019656
2007-10-23,61.42506142506142
2007-10-24,59.21375921375921
2007-10-25,57.73955773955773
2007-10-26,57.73955773955773
2007-10-29,59.7051597051597
2007-10-30,58.47665847665847
2007-10-31,60.44226044226044
2007-11-01,57.00245700245701
2007-11-02,54.54545454545454
2007-11-05,51.105651105651106
2007-11-06,50.122850122850124
2007-11-07,45.45454545454545
2007-11-08,41.76904176904177
2007-11-09,38.32923832923833
2007-11-12,34.88943488943489
2007-11-13,36.11793611793612
2007-11-14,36.60933660933661
2007-11-15,35.62653562653563
2007-11-16,35.38083538083538
2007-11-19,31.695331695331696
2007-11-20,29.975429975429975
2007-11-21,26.535626535626534
2007-11-23,26.535626535626534
2007-11-26,25.7985257985258
2007-11-27,26.289926289926292
2007-11-28,30.46683046683047
2007-11-29,32.432432432432435
2007-11-30,35.78431372549019
2007-12-03,38.72549019607843
2007-12-04,39.21568627450981
2007-12-05,42.15686274509804
2007-12-06,48.28431372549019
2007-12-07,53.92156862745098
2007-12-10,61.274509803921575
2007-12-11,60.049019607843135
2007-12-12,59.31372549019608
2007-12-13,59.068627450980394
2007-12-14,55.63725490196079
2007-12-17,50.0
2007-12-18,48.28431372549019
2007-12-19,46.07843137254902
2007-12-20,46.32352941176471
2007-12-21,49.1442542787286
2007-12-24,50.8557457212714
2007-12-26,54.278728606356964
2007-12-27,53.0562347188264
2007-12-28,52.81173594132029
2007-12-31,52.32273838630807
2008-01-02,46.454767726161364
2008-01-03,41.80929095354523
2008-01-04,33.74083129584352
2008-01-07,27.139364303178482
2008-01-08,24.205378973105134
2008-01-09,23.227383863080682
2008-01-10,23.96088019559902
2008-01-11,22.73838630806846
2008-01-14,22.982885085574573
2008-01-15,21.026894865525673
2008-01-16,17.84841075794621
2008-01-17,14.180929095354522
2008-01-18,10.757946210268948
2008-01-22,7.579462102689487
2008-01-23,8.312958435207824
2008-01-24,8.557457212713937
2008-01-25,8.80195599022005
2008-01-28,11.491442542787286
2008-01-29,14.425427872860636
2008-01-30,15.892420537897312
2008-01-31,20.293398533007334
2008-02-01,25.91687041564792
2008-02-04,31.295843520782395
2008-02-05,30.073349633251834
2008-02-06,29.82885085574572
2008-02-07,29.82885085574572
2008-02-08,30.317848410757946
2008-02-11,29.82885085574572
2008-02-12,31.784841075794624
2008-02-13,34.474327628361856
2008-02-14,35.2078239608802
2008-02-15,36.18581907090464
2008-02-19,36.91931540342298
2008-02-20,38.141809290953546
2008-02-21,37.163814180929094
2008-02-22,38.386308068459655
2008-02-25,42.053789731051346
2008-02-26,45.2322738386308
2008-02-27,49.38875305623472
2008-02-28,48.655256723716384
2008-02-29,44.743276283618584
2008-03-03,40.34229828850856
2008-03-04,38.87530562347188
2008-03-05,36.91931540342298
2008-03-06,31.295843520782395
2008-03-07,25.4278728606357
2008-03-10,20.537897310513447
2008-03-11,21.026894865525673
2008-03-12,22.00488997555012
2008-03-13,24.205378973105134
2008-03-14,23.4718826405868
2008-03-17,20.293398533007334
2008-03-18,24.938875305623473
2008-03-19,25.4278728606357
2008-03-20,28.117359413202937
2008-03-24,33.496332518337404
2008-03-25,40.09779951100245
2008-03-26,44.25427872860636
2008-03-27,45.72127139364303
2008-03-28,45.47677261613692
2008-03-31,46.454767726161364
2008-04-01,53.30073349633252
2008-04-02,60.14669926650367
2008-04-03,65.52567237163814
2008-04-04,70.17114914425427
2008-04-07,73.34963325183375
2008-04-08,74.32762836185819
2008-04-09,74.08312958435208
2008-04-10,73.10513447432763
2008-04-11,69.43765281173594
2008-04-14,66.01466992665037
2008-04-15,63.325183374083124
2008-04-16,66.25916870415648
2008-04-17,69.19315403422983
2008-04-18,71.63814180929096
2008-04-21,73.10513447432763
2008-04-22,70.48780487804878
2008-04-23,70.73170731707317
2008-04-24,72.99270072992701
2008-04-25,73.2360097323601
2008-04-28,75.669099756691
2008-04-29,76.64233576642336
2008-04-30,77.85888077858881
2008-05-01,79.31873479318735
2008-05-02,81.99513381995133
2008-05-05,81.99513381995133
2008-05-06,81.75182481751825
2008-05-07,80.04866180048663
2008-05-08,78.58880778588808
2008-05-09,76.15571776155717
2008-05-12,75.91240875912408
2008-05-13,76.88564476885644
2008-05-14,76.64233576642336
2008-05-15,78.34549878345499
2008-05-16,79.31873479318735
2008-05-19,79.80535279805353
2008-05-20,78.34549878345499
2008-05-21,75.4257907542579
2008-05-22,72.50608272506082
2008-05-23,67.39659367396594
2008-05-27,64.47688564476886
2008-05-28,63.26034063260341
2008-05-29,65.0485436893204
2008-05-30,64.32038834951457
2008-06-02,63.59223300970874
2008-06-03,61.165048543689316
2008-06-04,59.95145631067961
2008-06-05,62.13592233009708
2008-06-06,59.22330097087378
2008-06-09,56.310679611650485
2008-06-10,50.728155339805824
2008-06-11,47.57281553398058
2008-06-12,44.55205811138014
2008-06-13,44.55205811138014
2008-06-16,45.27845036319613
2008-06-17,44.55205811138014
2008-06-18,40.92009685230024
2008-06-19,39.22518159806295
2008-06-20,34.624697336561745
2008-06-23,31.961259079903147
2008-06-24,29.055690072639223
2008-06-25,29.055690072639223
2008-06-26,25.423728813559322
2008-06-27,20.581113801452787
2008-06-30,18.401937046004843
2008-07-01,16.222760290556902
2008-07-02,13.559322033898304
2008-07-03,12.106537530266344
