Date,MACD_NY_Breadth
2019-05-14,51.98329853862212
2019-05-15,49.26931106471816
2019-05-16,49.26931106471816
2019-05-17,48.643006263048015
2019-05-20,46.764091858037574
2019-05-21,48.643006263048015
2019-05-22,49.68684759916493
2019-05-23,46.972860125260965
2019-05-24,45.51148225469729
2019-05-28,44.46764091858037
2019-05-29,41.127348643006265
2019-05-30,38.62212943632568
2019-05-31,36.74321503131524
2019-06-03,35.49060542797495
2019-06-04,37.995824634655534
2019-06-05,40.292275574112736
2019-06-06,44.05010438413361
2019-06-07,47.18162839248434
2019-06-10,51.98329853862212
2019-06-11,55.94989561586638
2019-06-12,57.62004175365344
2019-06-13,61.79540709812108
2019-06-14,64.09185803757829
2019-06-17,65.20833333333333
2019-06-18,68.125
2019-06-19,72.08333333333333
2019-06-20,75.625
2019-06-21,78.95833333333333
2019-06-24,78.95833333333333
2019-06-25,79.16666666666666
2019-06-26,78.54166666666667
2019-06-27,78.54166666666667
2019-06-28,79.79166666666667
2019-07-01,81.4968814968815
2019-07-02,83.57588357588358
2019-07-03,85.23908523908524
2019-07-05,86.07068607068608
2019-07-08,86.07068607068608
2019-07-09,85.86278586278586
2019-07-10,86.6943866943867
2019-07-11,85.23908523908524
2019-07-12,85.44698544698545
2019-07-15,85.44698544698545
2019-07-16,85.65488565488566
2019-07-17,84.61538461538461
2019-07-18,82.78008298755186
2019-07-19,81.95020746887967
2019-07-22,79.66804979253112
2019-07-23,79.46058091286307
2019-07-24,79.66804979253112
2019-07-25,78.42323651452283
2019-07-26,77.59336099585063
2019-07-29,76.34854771784232
2019-07-30,74.27385892116183
2019-07-31,71.78423236514523
2019-08-01,68.46473029045643
2019-08-02,61.61825726141079
2019-08-05,49.79253112033195
2019-08-06,43.36099585062241
2019-08-07,40.04149377593361
2019-08-08,41.49377593360996
2019-08-09,41.078838174273855
2019-08-12,40.45643153526971
2019-08-13,40.871369294605806
2019-08-14,37.344398340248965
2019-08-15,35.477178423236516
2019-08-16,36.51452282157676
2019-08-19,39.41908713692946
2019-08-20,41.286307053941904
2019-08-21,43.983402489626556
2019-08-22,47.0954356846473
2019-08-23,43.56846473029046
2019-08-26,43.15352697095436
2019-08-27,43.56846473029046
2019-08-28,43.56846473029046
2019-08-29,45.850622406639005
2019-08-30,46.058091286307054
2019-09-03,46.2655601659751
2019-09-04,47.9253112033195
2019-09-05,51.45228215767634
2019-09-06,54.77178423236515
2019-09-09,62.24066390041494
2019-09-10,67.21991701244814
2019-09-11,69.29460580912863
2019-09-12,70.53941908713693
2019-09-13,74.06639004149378
2019-09-16,75.51867219917013
2019-09-17,78.42323651452283
2019-09-18,79.46058091286307
2019-09-19,78.83817427385893
2019-09-20,78.21576763485477
2019-09-23,76.97095435684648
2019-09-24,75.93360995850622
2019-09-25,74.68879668049793
2019-09-26,73.02904564315352
2019-09-27,70.12448132780082
2019-09-30,69.70954356846472
2019-10-01,65.35269709543569
2019-10-02,56.84647302904564
2019-10-03,49.79253112033195
2019-10-04,47.71784232365145
2019-10-07,43.983402489626556
2019-10-08,38.796680497925315
2019-10-09,36.30705394190871
2019-10-10,36.92946058091287
2019-10-11,40.24896265560166
2019-10-14,42.32365145228216
2019-10-15,46.058091286307054
2019-10-16,49.1701244813278
2019-10-17,53.52697095435685
2019-10-18,56.84647302904564
2019-10-21,58.50622406639005
2019-10-22,59.75103734439834
2019-10-23,59.33609958506224
2019-10-24,60.86956521739131
2019-10-25,62.732919254658384
2019-10-28,63.56107660455487
2019-10-29,65.83850931677019
2019-10-30,66.87370600414079
2019-10-31,68.11594202898551
2019-11-01,67.70186335403726
2019-11-04,67.70186335403726
2019-11-05,67.08074534161491
2019-11-06,66.87370600414079
2019-11-07,67.70186335403726
2019-11-08,67.28778467908903
