Date,SPX,Oscillator,Threshold_Up,Threshold_Down
2015-05-06,,0.22043010752688172,0.6,0.2
2015-05-07,,0.3763440860215054,0.6,0.2
2015-05-08,,0.6397849462365591,0.6,0.2
2015-05-11,,0.5645161290322581,0.6,0.2
2015-05-12,,0.5053763440860215,0.6,0.2
2015-05-13,,0.532258064516129,0.6,0.2
2015-05-14,,0.7258064516129032,0.6,0.2
2015-05-15,,0.7096774193548387,0.6,0.2
2015-05-18,,0.8279569892473119,0.6,0.2
2015-05-19,,0.7688172043010753,0.6,0.2
2015-05-20,,0.7096774193548387,0.6,0.2
2015-05-21,,0.6989247311827957,0.6,0.2
2015-05-22,,0.5752688172043011,0.6,0.2
2015-05-26,,0.27419354838709675,0.6,0.2
2015-05-27,,0.46774193548387094,0.6,0.2
2015-05-28,,0.3817204301075269,0.6,0.2
2015-05-29,,0.2903225806451613,0.6,0.2
2015-06-01,,0.3279569892473118,0.6,0.2
2015-06-02,,0.3279569892473118,0.6,0.2
2015-06-03,,0.45698924731182794,0.6,0.2
2015-06-04,,0.22580645161290322,0.6,0.2
2015-06-05,,0.3225806451612903,0.6,0.2
2015-06-08,,0.1827956989247312,0.6,0.2
2015-06-09,,0.22043010752688172,0.6,0.2
2015-06-10,,0.5,0.6,0.2
2015-06-11,,0.6236559139784946,0.6,0.2
2015-06-12,,0.43548387096774194,0.6,0.2
2015-06-15,,0.3333333333333333,0.6,0.2
2015-06-16,,0.521505376344086,0.6,0.2
2015-06-17,,0.6021505376344086,0.6,0.2
2015-06-18,,0.8010752688172043,0.6,0.2
2015-06-19,,0.7096774193548387,0.6,0.2
2015-06-22,,0.7419354838709677,0.6,0.2
2015-06-23,,0.6344086021505376,0.6,0.2
2015-06-24,,0.3548387096774194,0.6,0.2
2015-06-25,,0.3279569892473118,0.6,0.2
2015-06-26,,0.34408602150537637,0.6,0.2
2015-06-29,,0.06451612903225806,0.6,0.2
2015-06-30,,0.10215053763440861,0.6,0.2
2015-07-01,,0.20430107526881722,0.6,0.2
2015-07-02,,0.25806451612903225,0.6,0.2
2015-07-06,,0.27419354838709675,0.6,0.2
2015-07-07,,0.41935483870967744,0.6,0.2
2015-07-08,,0.24731182795698925,0.6,0.2
2015-07-09,,0.3064516129032258,0.6,0.2
2015-07-10,,0.5645161290322581,0.6,0.2
2015-07-13,,0.7526881720430108,0.6,0.2
2015-07-14,,0.8118279569892473,0.6,0.2
2015-07-15,,0.7043010752688172,0.6,0.2
2015-07-16,,0.7688172043010753,0.6,0.2
2015-07-17,,0.6720430107526881,0.6,0.2
2015-07-20,,0.6021505376344086,0.6,0.2
2015-07-21,,0.5,0.6,0.2
2015-07-22,,0.4946236559139785,0.6,0.2
2015-07-23,,0.3387096774193548,0.6,0.2
2015-07-24,,0.24193548387096775,0.6,0.2
2015-07-27,,0.1774193548387097,0.6,0.2
2015-07-28,,0.3763440860215054,0.6,0.2
2015-07-29,,0.5698924731182796,0.6,0.2
2015-07-30,,0.6182795698924731,0.6,0.2
2015-07-31,,0.6344086021505376,0.6,0.2
2015-08-03,,0.6075268817204301,0.6,0.2
2015-08-04,,0.5967741935483871,0.6,0.2
2015-08-05,,0.6827956989247311,0.6,0.2
2015-08-06,,0.5268817204301075,0.6,0.2
2015-08-07,,0.45161290322580644,0.6,0.2
2015-08-10,,0.6344086021505376,0.6,0.2
2015-08-11,,0.44623655913978494,0.6,0.2
2015-08-12,,0.41397849462365593,0.6,0.2
2015-08-13,,0.43010752688172044,0.6,0.2
2015-08-14,,0.6021505376344086,0.6,0.2
2015-08-17,,0.7258064516129032,0.6,0.2
2015-08-18,,0.6397849462365591,0.6,0.2
2015-08-19,,0.44623655913978494,0.6,0.2
2015-08-20,,0.15053763440860216,0.6,0.2
2015-08-21,,0.04838709677419355,0.6,0.2
2015-08-24,,0.005376344086021506,0.6,0.2
2015-08-25,,0.005376344086021506,0.6,0.2
2015-08-26,,0.026881720430107527,0.6,0.2
2015-08-27,,0.22580645161290322,0.6,0.2
2015-08-28,,0.3118279569892473,0.6,0.2
2015-08-31,,0.2956989247311828,0.6,0.2
2015-09-01,,0.10752688172043011,0.6,0.2
2015-09-02,,0.3225806451612903,0.6,0.2
2015-09-03,,0.553763440860215,0.6,0.2
2015-09-04,,0.27956989247311825,0.6,0.2
2015-09-08,,0.7526881720430108,0.6,0.2
2015-09-09,,0.42473118279569894,0.6,0.2
2015-09-10,,0.44086021505376344,0.6,0.2
2015-09-11,,0.6559139784946236,0.6,0.2
2015-09-14,,0.5483870967741935,0.6,0.2
2015-09-15,,0.7849462365591398,0.6,0.2
2015-09-16,,0.8494623655913979,0.6,0.2
2015-09-17,,0.7903225806451613,0.6,0.2
2015-09-18,,0.4731182795698925,0.6,0.2
2015-09-21,,0.532258064516129,0.6,0.2
2015-09-22,,0.25268817204301075,0.6,0.2
2015-09-23,,0.24731182795698925,0.6,0.2
2015-09-24,,0.20967741935483872,0.6,0.2
2015-09-25,,0.25806451612903225,0.6,0.2
2015-09-28,,0.0967741935483871,0.6,0.2
2015-09-29,,0.13978494623655913,0.6,0.2
2015-09-30,,0.3172043010752688,0.6,0.2
2015-10-01,,0.3870967741935484,0.6,0.2
2015-10-02,,0.6935483870967742,0.6,0.2
2015-10-05,,0.8655913978494624,0.6,0.2
2015-10-06,,0.8064516129032258,0.6,0.2
2015-10-07,,0.8225806451612904,0.6,0.2
2015-10-08,,0.8763440860215054,0.6,0.2
2015-10-09,,0.8817204301075269,0.6,0.2
2015-10-12,,0.8655913978494624,0.6,0.2
2015-10-13,,0.7043010752688172,0.6,0.2
2015-10-14,,0.521505376344086,0.6,0.2
2015-10-15,,0.6827956989247311,0.6,0.2
2015-10-16,,0.6935483870967742,0.6,0.2
2015-10-19,,0.6451612903225806,0.6,0.2
2015-10-20,,0.6075268817204301,0.6,0.2
2015-10-21,,0.46236559139784944,0.6,0.2
2015-10-22,,0.6720430107526881,0.6,0.2
2015-10-23,,0.7043010752688172,0.6,0.2
2015-10-26,,0.6827956989247311,0.6,0.2
2015-10-27,,0.5806451612903226,0.6,0.2
