date,breadth_count,breadth_percent
2021-12-31,180.0,35.785288270377734
2022-01-03,187.0,37.17693836978131
2022-01-04,204.0,40.55666003976143
2022-01-05,206.0,40.95427435387674
2022-01-06,211.0,41.94831013916501
2022-01-07,206.0,40.95427435387674
2022-01-10,193.0,38.36978131212724
2022-01-11,179.0,35.586481113320076
2022-01-12,175.0,34.791252485089466
2022-01-13,164.0,32.60437375745527
2022-01-14,150.0,29.82107355864811
2022-01-18,135.0,26.838966202783297
2022-01-19,121.0,24.055666003976143
2022-01-20,116.0,23.061630218687874
2022-01-21,105.0,20.87475149105368
2022-01-24,95.0,18.886679920477135
2022-01-25,85.0,16.898608349900595
2022-01-26,73.0,14.512922465208748
2022-01-27,61.0,12.127236580516898
2022-01-28,52.0,10.337972166998012
2022-01-31,39.0,7.75347912524851
2022-02-01,34.0,6.759443339960239
2022-02-02,30.0,5.964214711729622
2022-02-03,39.0,7.75347912524851
2022-02-04,53.0,10.536779324055665
2022-02-07,63.0,12.524850894632205
2022-02-08,76.0,15.109343936381709
2022-02-09,91.0,18.09145129224652
2022-02-10,101.0,20.07952286282306
2022-02-11,104.0,20.675944333996025
2022-02-14,101.0,20.07952286282306
2022-02-15,103.0,20.47713717693837
2022-02-16,102.0,20.278330019880716
2022-02-17,101.0,20.07952286282306
2022-02-18,98.0,19.4831013916501
2022-02-22,94.0,18.687872763419485
2022-02-23,82.0,16.302186878727635
2022-02-24,72.0,14.314115308151093
2022-02-25,67.0,13.320079522862823
2022-02-28,62.0,12.326043737574553
2022-03-01,60.0,11.928429423459244
2022-03-02,61.0,12.127236580516898
2022-03-03,57.0,11.332007952286283
2022-03-04,61.0,12.127236580516898
2022-03-07,64.0,12.72365805168986
2022-03-08,64.0,12.72365805168986
2022-03-09,69.0,13.717693836978132
2022-03-10,72.0,14.314115308151093
2022-03-11,76.0,15.109343936381709
2022-03-14,78.0,15.50695825049702
2022-03-15,86.0,17.09741550695825
2022-03-16,88.0,17.495029821073558
2022-03-17,89.0,17.693836978131213
2022-03-18,91.0,18.09145129224652
2022-03-21,101.0,20.07952286282306
2022-03-22,115.0,22.86282306163022
2022-03-23,114.0,22.664015904572565
2022-03-24,110.0,21.868787276341948
2022-03-25,121.0,24.055666003976143
2022-03-28,128.0,25.44731610337972
2022-03-29,136.0,27.037773359840955
2022-03-30,145.0,28.82703777335984
2022-03-31,148.0,29.4234592445328
2022-04-01,147.0,29.22465208747515
2022-04-04,151.0,30.019880715705767
2022-04-05,155.0,30.81510934393638
2022-04-06,160.0,31.809145129224653
2022-04-07,156.0,31.01391650099404
2022-04-08,157.0,31.21272365805169
2022-04-11,148.0,29.4234592445328
2022-04-12,144.0,28.628230616302186
2022-04-13,141.0,28.031809145129227
2022-04-14,142.0,28.230616302186878
2022-04-18,138.0,27.435387673956264
2022-04-19,142.0,28.230616302186878
2022-04-20,152.0,30.218687872763418
2022-04-21,150.0,29.82107355864811
2022-04-22,142.0,28.230616302186878
2022-04-25,133.0,26.44135188866799
2022-04-26,119.0,23.658051689860834
2022-04-27,111.0,22.067594433399602
2022-04-28,98.0,19.4831013916501
2022-04-29,79.0,15.705765407554672
2022-05-02,62.0,12.326043737574553
2022-05-03,47.0,9.343936381709742
2022-05-04,37.0,7.3558648111332
2022-05-05,30.0,5.964214711729622
2022-05-06,27.0,5.36779324055666
2022-05-09,24.0,4.7713717693836974
2022-05-10,25.0,4.970178926441352
2022-05-11,22.0,4.3737574552683895
2022-05-12,19.0,3.7773359840954273
2022-05-13,21.0,4.174950298210735
2022-05-16,25.0,4.970178926441352
2022-05-17,30.0,5.964214711729622
2022-05-18,27.0,5.36779324055666
2022-05-19,25.0,4.970178926441352
2022-05-20,23.0,4.572564612326044
2022-05-23,28.0,5.566600397614314
2022-05-24,34.0,6.759443339960239
2022-05-25,36.0,7.157057654075547
2022-05-26,37.0,7.3558648111332
2022-05-27,40.0,7.952286282306163
2022-05-31,41.0,8.151093439363818
2022-06-01,44.0,8.747514910536779
2022-06-02,46.0,9.145129224652088
2022-06-03,49.0,9.74155069582505
2022-06-06,53.0,10.536779324055665
2022-06-07,55.0,10.934393638170974
2022-06-08,56.0,11.133200795228628
2022-06-09,54.0,10.73558648111332
2022-06-10,51.0,10.139165009940358
2022-06-13,43.0,8.548707753479125
2022-06-14,36.0,7.157057654075547
2022-06-15,28.0,5.566600397614314
2022-06-16,22.0,4.3737574552683895
2022-06-17,15.0,2.982107355864811
2022-06-21,9.0,1.7892644135188867
2022-06-22,2.0,0.3976143141153081
2022-06-23,1.0,0.19880715705765406
2022-06-24,0.0,0.0
2022-06-27,2.0,0.3976143141153081
2022-06-28,5.0,0.9940357852882704
2022-06-29,7.0,1.3916500994035785
2022-06-30,9.0,1.7892644135188867
2022-07-01,11.0,2.1868787276341948
2022-07-05,12.0,2.3856858846918487
2022-07-06,16.0,3.180914512922465
2022-07-07,18.0,3.5785288270377733
2022-07-08,19.0,3.7773359840954273
2022-07-11,21.0,4.174950298210735
2022-07-12,23.0,4.572564612326044
2022-07-13,27.0,5.36779324055666
2022-07-14,29.0,5.7654075546719685
2022-07-15,33.0,6.560636182902585
2022-07-18,31.0,6.163021868787276
2022-07-19,33.0,6.560636182902585
2022-07-20,31.0,6.163021868787276
2022-07-21,29.0,5.7654075546719685
2022-07-22,26.0,5.168986083499006
2022-07-25,26.0,5.168986083499006
2022-07-26,24.0,4.7713717693836974
2022-07-27,24.0,4.7713717693836974
2022-07-28,25.0,4.970178926441352
2022-07-29,26.0,5.168986083499006
2022-08-01,29.0,5.7654075546719685
2022-08-02,31.0,6.163021868787276
2022-08-03,34.0,6.759443339960239
2022-08-04,37.0,7.3558648111332
2022-08-05,41.0,8.151093439363818
2022-08-08,48.0,9.542743538767395
2022-08-09,54.0,10.73558648111332
2022-08-10,59.0,11.72962226640159
2022-08-11,62.0,12.326043737574553
2022-08-12,67.0,13.320079522862823
2022-08-15,68.0,13.518886679920477
2022-08-16,74.0,14.7117296222664
2022-08-17,78.0,15.50695825049702
2022-08-18,86.0,17.09741550695825
2022-08-19,87.0,17.296222664015904
2022-08-22,91.0,18.09145129224652
2022-08-23,92.0,18.290258449304176
2022-08-24,93.0,18.48906560636183
2022-08-25,96.0,19.08548707753479
2022-08-26,96.0,19.08548707753479
2022-08-29,94.0,18.687872763419485
2022-08-30,84.0,16.69980119284294
